No.,Rule,Rule ID,Query,Tool Output,Correct (Y/N)
1,E001_InconsistentTupleVariable,E001,"select a1.owner,a1.table_name from all_tab_columns a1, all_tab_columns a2 where a1.owner=a2.owner and a1.table_name=a2.table_name and a1.column_name='location' and a2.column_name='asset_id' order by a1.owner,a1.table_name;",inconsistent tuple variables: all_tab_columns.column_name,TRUE
2,E001_InconsistentTupleVariable,E001,select t1.userid from userrole t1 join userrole t2 on t1.userid = t2.userid and t2.roleid = 2 join userrole t3 on t2.userid = t3.userid and t3.roleid = 3 and t1.roleid = 1;,inconsistent tuple variables: userrole.roleid,TRUE
3,E001_InconsistentTupleVariable,E001,select deptno from   dept where  exists(select * from   emp x where  x.deptno = 20 and exists(select * from   emp y where  y.job = x.job and y.deptno = dept.deptno)) and deptno <> 20;,no errors,TRUE
4,E001_InconsistentTupleVariable,E001,"select count(distinct patients.id) from public.patients, public.subscriptions, public.users, public.calendar_days where patients.user_id = users.id and patients.id = calendar_days.patient_id and subscriptions.user_id = patients.user_id and (date_trunc('day',patients.last_sync) > current_date - interval '30 days' or date_trunc('day', calendar_days.created_at) > current_date - interval '30 days' or date_trunc('day',users.current_sign_in_at) > current_date - interval '30 days') and subscriptions.code_id = 2;",no errors,TRUE
5,E001_InconsistentTupleVariable,E001,select * from tmp t0 where exists ( select * from tmp t1 join tmp t2 on t2.clientid = t1.clientid and t2.serverid = t1.serverid and t2.logtime > t1.logtime where t1. status = 'aborted' and t2. status = 'failed' and t1.clientid = t0.clientid and t1.serverid = t0.serverid and t1.logtime = t0.logtime or t2.logtime = t0.logtime and not exists ( select * from tmp x where x.clientid = t1.clientid and x.serverid = t1.serverid and x.logtime > t1.logtime and x.logtime < t2.logtime ) );,no errors,TRUE
6,E001_InconsistentTupleVariable,E001,"select distinct t.name from hospital_a t, hospital_a v where t.op_date=v.date_of_birth and t.surname=v.surname and t.op_id = 'p619920' and v.op_id = 'i552015';",inconsistent tuple variables: hospital_a.op_id,FALSE
7,E001_InconsistentTupleVariable,E001,"select im1.imageid as id, im1.attributevalue as color, im2.attributevalue as quality from imageattribute im1, imageattribute im2 where im1.imageid = im2.imageid and im1.attributetype = ""color"" and im2.attributetype = ""quality"" and im2.attributevalue = ""good"";",inconsistent tuple variables: imageattribute.attributetype,TRUE
8,E001_InconsistentTupleVariable,E001,"select t1.a3 from test t1, test t2 where t1.a1 = t2.a1 and t2.a2 = t1.a2 and t1.a1 = t2.a2;",inconsistent tuple variables: test.a1,TRUE
9,E001_InconsistentTupleVariable,E001,select * from audit a1 where not exists( select * from audit a2 where a2.status='approve' and a1.status='decline' and a2.id=a1.id );,inconsistent tuple variables: audit.status,TRUE
10,E001_InconsistentTupleVariable,E001,"select a.post_id, b.post_id, a.ul_value as ""likes"", b.ul_value as ""dislikes"" from wp_like_dislike_counters as a, wp_like_dislike_counters as b where a.post_id = b.post_id and a.ul_key = 'u_like' and b.ul_key = 'u_dislike';",inconsistent tuple variables: wp_like_dislike_counters.ul_key,FALSE
